ticker,company_name,exchange,sector,is_financial,is_constituent,market_cap,market_cap_source,last_price,shares_outstanding,latest_sec_filing_type,latest_sec_filing_date,market_data_date,sec_data_date,eligibility_status,exclusion_reason,data_source,collected_at
ALAB,Astera Labs Inc. Common Stock,NASDAQ,Technology,false,True,62011964171.0,provided,361.78,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ALGM,Allegro MicroSystems Inc. Common Stock,NASDAQ,Technology,false,False,9747690228.0,provided,52.32,,10-K,2026-05-21,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ALGN,Align Technology Inc. Common Stock,NASDAQ,Health Care,false,False,12780970944.0,provided,178.46,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ALKS,Alkermes plc Ordinary Shares,NASDAQ,Health Care,false,False,8600471641.0,provided,51.6,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,false,True,37551746282.0,provided,281.26,,10-Q,2026-04-30,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AMAT,Applied Materials Inc. Common Stock,NASDAQ,Technology,false,True,472961632451.0,provided,595.7,,10-Q,2026-05-21,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AMD,Advanced Micro Devices Inc. Common Stock,NASDAQ,Technology,false,True,893781128255.0,provided,548.13,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AMGN,Amgen Inc. Common Stock,NASDAQ,Health Care,false,True,191731364339.0,provided,355.25,,10-Q,2026-05-01,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AMKR,Amkor Technology Inc. Common Stock,NASDAQ,Technology,false,False,17400650764.0,provided,70.2,,10-Q,2026-04-28,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AMZN,Amazon.com Inc. Common Stock,NASDAQ,Consumer Discretionary,false,True,2662277014316.0,provided,247.49,,10-Q,2026-04-30,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
APA,APA Corporation Common Stock,NASDAQ,Energy,false,False,12205326938.0,provided,34.53,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
APGE,Apogee Therapeutics Inc. Common Stock,NASDAQ,Health Care,false,False,10099160675.0,provided,133.96,,10-Q,2026-05-11,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
APLD,Applied Digital Corporation Common Stock,NASDAQ,Health Care,false,False,8135858775.0,provided,28.47,,10-Q,2026-04-08,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
APP,Applovin Corporation Class A Common Stock,NASDAQ,Technology,false,True,150830341200.0,provided,448.98,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
APPF,AppFolio Inc. Class A Common Stock,NASDAQ,Technology,false,False,6168649667.0,provided,174.46,,10-Q,2026-04-23,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ARCC,Ares Capital Corporation Common Stock,NASDAQ,Finance,true,False,13491649258.0,provided,18.79,,10-Q,2026-04-28,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ARGX,argenx SE American Depositary Shares,NASDAQ,Health Care,false,False,53338707834.0,provided,859.43,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ARM,Arm Holdings plc American Depositary Shares,NASDAQ,Technology,false,True,299180415205.0,provided,281.17,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,false,False,10129028380.0,provided,71.91,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ARXS,Arxis Inc. Class A Common Stock,NASDAQ,Industrials,false,False,17644393519.0,provided,43.0,,10-Q,2026-05-28,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ASML,ASML Holding N.V. New York Registry Shares,NASDAQ,Technology,false,True,684363022681.0,provided,1775.64,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ASND,Ascendis Pharma A/S Ordinary Share,NASDAQ,Health Care,false,False,16459340243.0,provided,265.57,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ASTS,AST SpaceMobile Inc. Class A Common Stock,NASDAQ,Consumer Discretionary,false,False,26710733045.0,provided,68.82,,10-Q,2026-05-11,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AUR,Aurora Innovation Inc. Class A Common Stock,NASDAQ,Technology,false,False,12022174936.0,provided,6.13,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AVAV,AeroVironment Inc. Common Stock,NASDAQ,Industrials,false,False,7260734064.0,provided,143.47,,10-K,2026-06-29,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AVGO,Broadcom Inc. Common Stock,NASDAQ,Technology,false,True,1851222030844.0,provided,389.11,,10-Q,2026-06-09,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AVT,Avnet Inc. Common Stock,NASDAQ,Technology,false,False,7058172170.0,provided,86.05,,10-Q,2026-05-01,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AXON,Axon Enterprise Inc. Common Stock,NASDAQ,Industrials,false,True,44110292659.0,provided,547.26,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AXSM,Axsome Therapeutics Inc. Common Stock,NASDAQ,Health Care,false,False,12106424549.0,provided,235.26,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BBIO,BridgeBio Pharma Inc. Common Stock,NASDAQ,Health Care,false,False,16457060661.0,provided,84.09,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BDRX,Biodexa Pharmaceuticals plc American Depositary Shs,NASDAQ,Health Care,false,False,16936779124.0,provided,2.27,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BIDU,Baidu Inc. ADS,NASDAQ,Technology,false,False,37335924272.0,provided,109.73,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BIIB,Biogen Inc. Common Stock,NASDAQ,Health Care,false,False,28338944608.0,provided,191.95,,10-Q,2026-04-29,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BILI,Bilibili Inc. American Depositary Shares,NASDAQ,Technology,false,False,7282581350.0,provided,17.48,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BKNG,Booking Holdings Inc. Common Stock,NASDAQ,Consumer Discretionary,false,True,135487494535.0,provided,174.85,,10-Q,2026-04-28,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BKR,Baker Hughes Company Class A Common Stock,NASDAQ,Consumer Discretionary,false,True,57316768969.0,provided,57.775,,10-Q,2026-04-24,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BLLN,BillionToOne Inc. Class A Common Stock,NASDAQ,Health Care,false,False,5743456087.0,provided,124.87,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BLTE,Belite Bio Inc American Depositary Shares,NASDAQ,Health Care,false,False,5770385333.0,provided,146.68,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BMRN,BioMarin Pharmaceutical Inc. Common Stock,NASDAQ,Health Care,false,False,11334199444.0,provided,58.64,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BNTX,BioNTech SE American Depositary Share,NASDAQ,Health Care,false,False,22719810736.0,provided,90.4,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BOKF,BOK Financial Corporation Common Stock,NASDAQ,Finance,true,False,8412368757.0,provided,138.45,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BPOP,Popular Inc. Common Stock,NASDAQ,Finance,true,False,10906872821.0,provided,169.0,,10-Q,2026-05-08,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BPYPM,Brookfield Property Partners L.P. 6.25% Class A Cumulative Redeemable Preferred Units Series 1,NASDAQ,Finance,true,False,18340738886.0,provided,15.77,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,NASDAQ,Finance,true,False,16165901745.0,provided,13.9,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,NASDAQ,Finance,true,False,17782491919.0,provided,15.29,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,NASDAQ,Finance,true,False,18446108001.0,provided,15.8606,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BRKR,Bruker Corporation Common Stock,NASDAQ,Industrials,false,False,9272789884.0,provided,59.83,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,NASDAQ,Industrials,false,False,68362608890.0,provided,441.09,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BSP,Bending Spoons S.p.A. Ordinary Shares,NASDAQ,Technology,false,False,21890094200.0,provided,32.5,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BSY,Bentley Systems Incorporated Class B Common Stock,NASDAQ,Technology,false,False,9463266395.0,provided,31.15,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BTSG,BrightSpring Health Services Inc. Common Stock,NASDAQ,Health Care,false,False,13744837381.0,provided,69.67,,10-Q,2026-05-01,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,NASDAQ,Health Care,false,False,45558996646.0,provided,230.93,,10-Q,2026-05-01,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
BZ,KANZHUN LIMITED American Depository Shares,NASDAQ,Technology,false,False,6585725154.0,provided,14.23,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CACC,Credit Acceptance Corporation Common Stock,NASDAQ,Finance,true,False,6462022662.0,provided,617.78,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CAMT,Camtek Ltd. Ordinary Shares,NASDAQ,Technology,false,False,6977636189.0,provided,149.9,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CAR,Avis Budget Group Inc. Common Stock,NASDAQ,Consumer Discretionary,false,False,5644226263.0,provided,159.78,,10-Q,2026-04-29,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CART,Maplebear Inc. Common Stock,NASDAQ,Consumer Discretionary,false,False,11213272426.0,provided,47.71,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CASY,Casey's General Stores Inc. Common Stock,NASDAQ,Consumer Discretionary,false,False,31350193092.0,provided,847.19,,10-K,2026-06-22,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CBC,Central Bancompany Inc. Class A Common Stock,NASDAQ,,unknown,False,7413631569.0,provided,30.92,,10-Q,2026-05-15,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CBRS,Cerebras Systems Inc. Class A Common Stock,NASDAQ,Technology,false,False,45419174060.0,provided,203.81,,10-Q,2026-06-24,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CBSH,Commerce Bancshares Inc. Common Stock,NASDAQ,Finance,true,False,8441955220.0,provided,57.91,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,NASDAQ,Consumer Staples,false,True,47895146682.0,provided,105.5,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CDNS,Cadence Design Systems Inc. Common Stock,NASDAQ,Technology,false,True,103927468800.0,provided,376.8,,10-Q,2026-05-01,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CDW,CDW Corporation Common Stock,NASDAQ,Technology,false,False,17806276000.0,provided,139.38,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CEG,Constellation Energy Corporation Common Stock,NASDAQ,Utilities,false,True,92619967855.0,provided,256.43,,10-Q,2026-05-11,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CELC,Celcuity Inc. Common Stock,NASDAQ,Health Care,false,False,5415496282.0,provided,111.05,,10-Q,2026-05-14,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CELH,Celsius Holdings Inc. Common Stock,NASDAQ,Consumer Staples,false,False,7705000450.0,provided,30.14,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CG,The Carlyle Group Inc. Common Stock,NASDAQ,Finance,true,False,16371636940.0,provided,45.48,,10-Q,2026-05-08,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,NASDAQ,Finance,true,False,5908449656.0,provided,16.335,,10-Q,2026-05-08,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CGNX,Cognex Corporation Common Stock,NASDAQ,Industrials,false,False,10822256899.0,provided,65.03,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CGON,CG Oncology Inc. Common stock,NASDAQ,Health Care,false,False,6330291487.0,provided,71.77,,10-Q,2026-05-08,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CHDN,Churchill Downs Incorporated Common Stock,NASDAQ,Consumer Discretionary,false,False,5819691818.0,provided,83.5,,10-Q,2026-04-22,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,NASDAQ,Technology,false,False,14468768716.0,provided,137.02,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CHRD,Chord Energy Corporation Common Stock,NASDAQ,Energy,false,False,6867937334.0,provided,121.99,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CHRW,C.H. Robinson Worldwide Inc. Common Stock,NASDAQ,Industrials,false,False,23528637914.0,provided,199.61,,10-Q,2026-05-01,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CHTR,Charter Communications Inc. Class A Common Stock New,NASDAQ,Telecommunications,false,False,17777512128.0,provided,127.91,,10-Q,2026-04-24,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CHYM,Chime Financial Inc. Class A Common Stock,NASDAQ,Finance,true,False,8176670723.0,provided,21.46,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CIFR,Cipher Digital Inc. Common Stock,NASDAQ,Finance,true,False,8127807544.0,provided,19.87,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CINF,Cincinnati Financial Corporation Common Stock,NASDAQ,Finance,true,False,27848254162.0,provided,180.03,,10-Q,2026-04-27,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CMCSA,Comcast Corporation Class A Common Stock,NASDAQ,Telecommunications,false,True,82876919889.0,provided,23.19,,10-Q,2026-04-23,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CME,CME Group Inc. Class A Common Stock,NASDAQ,Finance,true,False,88274360523.0,provided,243.61,,10-Q,2026-04-24,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
COGT,Cogent Biosciences Inc. Common Stock,NASDAQ,Health Care,false,False,6580126834.0,provided,38.51,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
COIN,Coinbase Global Inc. Class A Common Stock,NASDAQ,Finance,true,False,42540894911.0,provided,161.5,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
COKE,Coca-Cola Consolidated Inc. Common Stock,NASDAQ,Consumer Staples,false,False,11791864682.0,provided,177.15,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
COLB,Columbia Banking System Inc. Common Stock,NASDAQ,Finance,true,False,9336064304.0,provided,32.25,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
COO,The Cooper Companies Inc. Common Stock,NASDAQ,Health Care,false,False,13361548461.0,provided,68.51,,10-Q,2026-06-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CORT,Corcept Therapeutics Incorporated Common Stock,NASDAQ,Health Care,false,False,9712098709.0,provided,90.47,,10-Q,2026-04-30,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CORZ,Core Scientific Inc. Common Stock,NASDAQ,Finance,true,False,7022086100.0,provided,22.09,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
CORZZ,Core Scientific Inc. Tranche 2 Warrants,NASDAQ,Finance,true,False,7103146850.0,provided,22.345,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
